row,zone_name,hour,parkings_booked
697,22-1,1,1
698,22-1,2,1
699,22-1,3,1
700,22-1,4,1
701,22-1,5,1
702,22-1,6,1
703,22-1,7,1
704,22-1,8,2
705,22-1,9,2
706,22-1,10,2
707,22-1,11,3
708,22-1,12,3
709,22-1,13,2
710,22-1,14,1
711,22-1,15,2
712,22-1,16,2
713,22-1,17,3
714,22-1,18,4
715,22-1,19,3
716,22-1,20,1
717,22-1,21,1
718,22-1,22,1
719,22-1,23,1
720,22-10,0,9
721,22-10,1,12
722,22-10,2,12
723,22-10,3,12
724,22-10,4,12
725,22-10,5,14
726,22-10,6,19
727,22-10,7,26
728,22-10,8,33
729,22-10,9,36
730,22-10,10,37
731,22-10,11,40
732,22-10,12,39
733,22-10,13,38
734,22-10,14,34
735,22-10,15,35
736,22-10,16,37
737,22-10,17,34
738,22-10,18,26
739,22-10,19,14
740,22-10,20,12
741,22-10,21,12
742,22-10,22,12
743,22-10,23,12
744,22-24,0,0
745,22-24,1,0
746,22-24,2,0
747,22-24,3,0
748,22-24,4,0
749,22-24,5,0
750,22-24,6,0
751,22-24,7,0
752,22-24,8,0
753,22-24,9,0
754,22-24,10,0
755,22-24,11,1
756,22-24,12,1
757,22-24,13,1
758,22-24,14,1
759,22-24,15,1
760,22-24,16,1
761,22-24,17,1
762,22-24,18,1
763,22-24,19,1
764,22-24,20,1
765,22-24,21,0
766,22-24,22,0
767,22-24,23,0
768,23-1,0,3
769,23-1,1,4
770,23-1,2,4
771,23-1,3,4
772,23-1,4,4
773,23-1,5,4
774,23-1,6,5
775,23-1,7,6
776,23-1,8,6
777,23-1,9,10
778,23-1,10,11
779,23-1,11,10
780,23-1,12,10
781,23-1,13,7
782,23-1,14,5
783,23-1,15,4
784,23-1,16,1
785,23-1,17,2
786,23-1,18,5
787,23-1,19,7
788,23-1,20,10
789,23-1,21,14
790,23-1,22,11
791,23-1,23,4
792,23-2,0,5
793,23-2,1,6
794,23-2,2,6
795,23-2,3,6
796,23-2,4,6
797,23-2,5,6
798,23-2,6,6
799,23-2,7,7
800,23-2,8,3
801,23-2,9,8
802,23-2,10,11
803,23-2,11,12
804,23-2,12,12
805,23-2,13,10
806,23-2,14,9
807,23-2,15,7
808,23-2,16,7
809,23-2,17,8
810,23-2,18,9
811,23-2,19,11
812,23-2,20,12
813,23-2,21,13
814,23-2,22,14
815,23-2,23,6
816,24-1,0,1
817,24-1,1,1
818,24-1,2,1
819,24-1,3,1
820,24-1,4,1
821,24-1,5,1
822,24-1,6,2
823,24-1,7,5
824,24-1,8,11
825,24-1,9,19
826,24-1,10,23
827,24-1,11,23
828,24-1,12,17
829,24-1,13,9
830,24-1,14,5
831,24-1,15,4
832,24-1,16,3
833,24-1,17,6
834,24-1,18,7
835,24-1,19,4
836,24-1,20,1
837,24-1,21,1
838,24-1,22,1
839,24-1,23,1
840,24-2,0,0
841,24-2,1,0
842,24-2,2,0
843,24-2,3,0
844,24-2,4,0
845,24-2,5,0
846,24-2,6,0
847,24-2,7,0
848,24-2,8,0
849,24-2,9,0
850,24-2,10,0
851,24-2,11,0
852,24-2,12,0
853,24-2,13,0
854,24-2,14,0
855,24-2,15,0
856,24-2,16,0
857,24-2,17,0
858,24-2,18,0
859,24-2,19,0
860,24-2,20,0
861,24-2,21,0
862,24-2,22,0
863,24-2,23,0
864,25-1,0,1
865,25-1,1,1
866,25-1,2,1
867,25-1,3,0
868,25-1,4,0
869,25-1,5,0
870,25-1,6,0
871,25-1,7,1
872,25-1,8,7
873,25-1,9,13
874,25-1,10,15
875,25-1,11,17
876,25-1,12,16
877,25-1,13,16
878,25-1,14,16
879,25-1,15,13
880,25-1,16,15
881,25-1,17,16
882,25-1,18,19
883,25-1,19,18
884,25-1,20,15
885,25-1,21,12
886,25-1,22,8
887,25-1,23,4
888,25-2,0,0
889,25-2,1,0
890,25-2,2,0
891,25-2,3,0
892,25-2,4,0
893,25-2,5,0
894,25-2,6,0
895,25-2,7,0
896,25-2,8,0
897,25-2,9,0
898,25-2,10,0
899,25-2,11,0
900,25-2,12,0
901,25-2,13,0
902,25-2,14,0
903,25-2,15,0
904,25-2,16,0
905,25-2,17,0
906,25-2,18,0
907,25-2,19,0
908,25-2,20,0
909,25-2,21,0
910,25-2,22,0
911,25-2,23,0
912,26-1,0,1
913,26-1,1,1
914,26-1,2,1
915,26-1,3,1
916,26-1,4,1
917,26-1,5,1
918,26-1,6,2
919,26-1,7,4
920,26-1,8,8
921,26-1,9,12
922,26-1,10,17
923,26-1,11,15
924,26-1,12,10
925,26-1,13,7
926,26-1,14,4
927,26-1,15,2
928,26-1,16,1
929,26-1,17,1
930,26-1,18,1
931,26-1,19,1
932,26-1,20,1
933,26-1,21,1
934,26-1,22,1
935,26-1,23,1
936,27-1,0,2
937,27-1,1,3
938,27-1,2,3
939,27-1,3,3
940,27-1,4,3
941,27-1,5,3
942,27-1,6,3
943,27-1,7,5
944,27-1,8,7
945,27-1,9,9
946,27-1,10,9
947,27-1,11,8
948,27-1,12,7
949,27-1,13,4
950,27-1,14,3
951,27-1,15,2
952,27-1,16,2
953,27-1,17,4
954,27-1,18,4
955,27-1,19,6
956,27-1,20,7
957,27-1,21,7
958,27-1,22,6
959,27-1,23,3
960,27-2,0,5
961,27-2,1,6
962,27-2,2,6
963,27-2,3,6
964,27-2,4,6
965,27-2,5,6
966,27-2,6,8
967,27-2,7,11
968,27-2,8,15
969,27-2,9,21
970,27-2,10,21
971,27-2,11,22
972,27-2,12,18
973,27-2,13,17
974,27-2,14,16
975,27-2,15,14
976,27-2,16,16
977,27-2,17,18
978,27-2,18,20
979,27-2,19,26
980,27-2,20,28
981,27-2,21,28
982,27-2,22,20
983,27-2,23,6
984,28-1,0,0
985,28-1,1,1
986,28-1,2,1
987,28-1,3,1
988,28-1,4,1
989,28-1,5,1
990,28-1,6,1
991,28-1,7,0
992,28-1,8,1
993,28-1,9,4
994,28-1,10,4
995,28-1,11,2
996,28-1,12,3
997,28-1,13,4
998,28-1,14,3
999,28-1,15,2
1000,28-1,16,3
1001,28-1,17,4
1002,28-1,18,4
1003,28-1,19,3
1004,28-1,20,3
1005,28-1,21,3
1006,28-1,22,1
1007,28-1,23,1
1008,29-1,0,29
1009,29-1,1,35
1010,29-1,2,35
1011,29-1,3,35
1012,29-1,4,35
1013,29-1,5,35
1014,29-1,6,53
1015,29-1,7,84
1016,29-1,8,115
1017,29-1,9,157
1018,29-1,10,196
1019,29-1,11,198
1020,29-1,12,178
1021,29-1,13,145
1022,29-1,14,117
1023,29-1,15,100
1024,29-1,16,93
1025,29-1,17,85
1026,29-1,18,85
1027,29-1,19,74
1028,29-1,20,35
1029,29-1,21,35
1030,29-1,22,35
1031,29-1,23,35
1032,29-2,0,15
1033,29-2,1,18
1034,29-2,2,18
1035,29-2,3,18
1036,29-2,4,18
1037,29-2,5,18
1038,29-2,6,22
1039,29-2,7,31
1040,29-2,8,37
1041,29-2,9,53
1042,29-2,10,61
1043,29-2,11,63
1044,29-2,12,61
1045,29-2,13,54
1046,29-2,14,46
1047,29-2,15,35
1048,29-2,16,30
1049,29-2,17,27
1050,29-2,18,29
1051,29-2,19,30
1052,29-2,20,18
1053,29-2,21,18
1054,29-2,22,18
1055,29-2,23,18
1056,29-3,0,7
1057,29-3,1,8
1058,29-3,2,8
1059,29-3,3,8
1060,29-3,4,8
1061,29-3,5,8
1062,29-3,6,10
1063,29-3,7,14
1064,29-3,8,13
1065,29-3,9,17
1066,29-3,10,21
1067,29-3,11,24
1068,29-3,12,21
1069,29-3,13,19
1070,29-3,14,16
1071,29-3,15,14
1072,29-3,16,11
1073,29-3,17,11
1074,29-3,18,18
1075,29-3,19,19
1076,29-3,20,8
1077,29-3,21,8
1078,29-3,22,8
1079,29-3,23,8
1080,3-1,0,25
1081,3-1,1,3
1082,3-1,2,3
1083,3-1,3,2
1084,3-1,4,5
1085,3-1,5,4
